Municipality,Population,Variation,Density,avgAge,AvgIncome,avgSize,totalHouse,totalFam
Ahuntsic-Cartierville,,,,,,,,
Anjou,40891,7.6,3000.2,44.3,55629,2.7,18990,11585
Baie-d'Urfí©,3902,2.3,647.4,44.2,101634,3.1,1375,1175
Beaconsfield,19194,-0.6,1743.3,41.9,107197,3.2,6560,5530
CíÇte-des-Neiges/Notre-Dame-de-Grí¢ce,,,,,,,,
CíÇte-Saint-Luc,31395,3.8,4516,49,64977,2.9,13535,8315
Dollard-Des Ormeaux,48930,1.5,3240,39.5,73355,3.3,16340,13520
Dorval,18088,2.2,866.5,42.8,69294,2.9,7810,5025
Hampstead,6996,0.3,3908.8,40.2,142102,3.3,2520,1875
Kirkland,20491,0.3,2125.4,40.2,100746,3.3,6540,5775
L'í_le-Bizard/Sainte-GeneviíÂve,14325,3.3,629.1,40.1,91400,3.2,4890,4055
Lachine,41391,2.9,2332,41.2,53926,2.8,18690,11090
LaSalle,74763,1.1,4564.6,41.9,53047,2.8,33235,20800
Le Sud-Ouest,,,,,,,,
Mercier/Hochelaga-Maisonneuve,,,,,,,,
Mont-Royal,18933,1.3,2471,41.8,112449,3.2,7020,5150
Le Plateau-Mont-Royal,,,,,,,,
Montrí©al-Est,3822,7.8,306.9,40.4,50711,2.8,1645,1055
Montrí©al-Nord,83911,0.4,7577.1,40.4,41368,2.9,36515,21995
Montrí©al-Ouest,5184,0.2,3685.7,41.7,100543,3.2,1860,1465
Outremont,22897,-0.2,5935.1,38.6,85255,3.1,9725,5750
Pierrefonds-Roxboro,59093,7.5,2372.5,38.1,66164,3.1,21635,16470
Pointe-Claire,30161,3,1597.7,43.2,81385,3,12050,8415
RiviíÂre-des-Prairies/Pointe-aux-Trembles,106437,3,2515,41,64459,2.4,42185,29690
Rosemont/La Petite-Patrie,134045,1,8458,40,48216,1.8,71705,31425
Saint-Lí©onard,71730,3.1,5307.7,40.7,48180,2.9,30015,20715
Saint-Laurent,84833,9.6,1978.6,39,51152,3.1,33425,22595
Sainte-Anne-de-Bellevue,5197,2.7,491.7,38.9,77376,3,2005,1280
Senneville,962,-0.8,128.5,46.4,111799,2.9,365,275
Verdun/í_le-des-Soeurs,66078,9.1,6828.8,40,50833,2.7,32365,17445
Ville-Marie,81990,9,6033,39,45580,1.7,46940,15965
Villeray/Saint-Michel/Parc-Extension,142222,0,8624,38,41402,2.2,63540,35455
Westmount,20494,3.9,5092.6,45.1,79466,3,8685,5280
